"symbol","股票简称","上市时间","流通股","总股本"
"600449","宁夏建材","20030829","478181042.0","478181042.0"
"600452","涪陵电力","20040303","1536541654.0","1536541654.0"
"600455","博通股份","20040329","62458000.0","62458000.0"
"600456","宝钛股份","20020412","477777539.0","477777539.0"
"600458","时代新材","20021219","809749272.0","931180500.0"
"600459","贵研铂业","20030516","753839558.0","760295046.0"
"600460","士兰微","20030311","1664071845.0","1664071845.0"
"600461","洪城环境","20040601","1284155178.0","1284155178.0"
"600463","空港股份","20040318","300000000.0","300000000.0"
"600467","好当家","20040405","1460994304.0","1460994304.0"
"600468","百利电气","20010615","1087735321.0","1087735321.0"
"600469","风神股份","20031021","729450871.0","729450871.0"
"600470","六国化工","20040305","521600000.0","521600000.0"
"600475","华光环能","20030721","942885729.0","955965729.0"
"600476","湘邮科技","20031210","161070000.0","161070000.0"
"600477","杭萧钢构","20031110","2368966150.0","2368966150.0"
"600478","科力远","20030918","1665540916.0","1665540916.0"
"600479","千金药业","20040312","418507117.0","418507117.0"
"600480","凌云股份","20030815","1204161985.0","1222360477.0"
"600481","双良节能","20030422","1873768632.0","1873768632.0"
"600482","中国动力","20040714","2252861845.0","2252861845.0"
"600483","福能股份","20040531","2780137800.0","2780137800.0"
"600486","扬农化工","20020425","403988654.0","405398884.0"
"600487","亨通光电","20030822","2445181125.0","2466734657.0"
"600488","津药药业","20010618","1091886680.0","1091886680.0"
"600489","中金黄金","20030814","4847312564.0","4847312564.0"
"600490","鹏欣资源","20030626","1992621386.0","2212887079.0"
"600491","龙元建设","20040524","1529757955.0","1529757955.0"
"600493","凤竹纺织","20040421","272000000.0","272000000.0"
"600495","晋西车轴","20040526","1208190886.0","1208190886.0"
"600496","精工钢构","20020605","1990124341.0","1990124341.0"
"600497","驰宏锌锗","20040420","5040380483.0","5040380483.0"
"600498","烽火通信","20010823","1166589384.0","1184474064.0"
"600499","科达制造","20021010","1917856391.0","1917856391.0"
"600500","中化国际","20000301","3586722753.0","3588523593.0"
"600501","航天晨光","20010615","427702200.0","431208000.0"
"600502","安徽建工","20030415","1716533938.0","1716533938.0"
"600503","华丽家族","20020709","1602290000.0","1602290000.0"
"600505","西昌电力","20020530","364567500.0","364567500.0"
"600506","统一股份","20011226","147706873.0","192018934.0"
"600507","方大特钢","20030930","2313187890.0","2313187890.0"
"600508","上海能源","20010829","722718000.0","722718000.0"
"600509","天富能源","20020228","1374397407.0","1374397407.0"
"600510","黑牡丹","20020618","1032025457.0","1032025457.0"
"600511","国药股份","20021127","553346424.0","754502998.0"
"600512","腾达建设","20021226","1587405163.0","1593810979.0"
"600513","联环药业","20030319","285456270.0","285456270.0"
